graph,algorithm,crossings,crossings_pct_vs_baseline,crossings_pct_vs_ebc,mean_edge_length,mean_edge_length_pct_vs_baseline,mean_edge_length_pct_vs_ebc,path_continuity,path_continuity_pct_vs_baseline,path_continuity_pct_vs_ebc,runtime_s
kangaroo,repair,296,-36.48068669527897,-29.69121140142518,0.3494062822800761,48.991102062879015,136.57126190667506,20.794290106997337,-3.533239417277732,-21.265268717555973,0.34
karate/77,repair,52,-22.388059701492537,0.0,0.1182648256312575,-22.001171086620936,-3.7507177708810975,37.51621081562072,-3.5032775562111227,-0.10225583563446144,0.64
interactome_pdz,repair,52,-40.90909090909091,-31.57894736842105,0.0433176374711107,-36.21348680110137,-27.70442476481396,45.35444400541387,-4.1925724181606165,-12.433837056880273,3.27
karate/78,repair,58,-14.705882352941176,1.7543859649122806,0.1223468915359483,-23.961891411847454,-3.842327539480883,36.17755714458307,-5.65634177130564,-3.5041473467163557,0.71
fullerene_structures/C320,repair,139,-14.197530864197532,-9.15032679738562,0.0679129093801305,1.9318049059181193,5.755427038124104,60.648093387015955,0.04901862494630144,2.1732686757439943,8.53
macaque_neural,repair,2384,-10.173323285606632,-8.483685220729367,0.17509604807262,-11.5239637615355,-2.1468125781699103,36.89038481360731,-1.123692707051435,-5.487791428511664,2.15
game_thrones,repair,2230,0.0,23.136388735505246,0.094377432389133,0.0,1.98737405616371,46.04187386133013,0.0,-2.6187070949946327,5.85
malaria_genes/HVR_3,repair,30,-51.61290322580645,-40.0,0.1430473002883285,-8.427238737286437,-1.3953745016783556,12.4689555014034,-47.751529077529476,-32.81800045194955,0.72
lesmis,repair,590,-20.485175202156334,-13.86861313868613,0.0773154679489144,-26.957535385670514,-4.814003411712336,45.08269542147689,-0.2828170141021126,-2.5953731964029916,3.74
marvel_partnerships,repair,6,-71.42857142857143,-33.333333333333336,0.0236782359130015,-36.610494135005176,-23.825149707951898,48.320390624732056,2.603771749143049,-4.71273066551789,3.52
montreal,repair,141,-17.058823529411764,2.1739130434782608,0.1841170189670377,3.616106060327382,61.147509475967865,41.80130038505857,-7.387378140827735,-7.929365246830328,0.65
new_guinea_tribes,repair,62,-45.13274336283186,-26.19047619047619,0.1516311400000076,-48.308510472731115,-42.029176698130556,24.132996691702203,-8.528286903499074,-38.71520804445487,0.12
november17,repair,87,-10.309278350515465,-3.3333333333333335,0.1951534592628183,-6.525529036693406,20.527099714241228,34.467061317924696,-0.7374361433698443,20.51182340805708,0.3
mist/genetic_mouse,repair,2,-85.71428571428571,-80.0,0.0217680671435911,-49.37505127218401,-45.101059584747716,50.42391415000353,1.2238742526736457,-3.328941916775455,4.38
mist/ppi_zebrafish,repair,4,-63.63636363636363,-20.0,0.0445012986686137,-49.875405870899854,-44.83790791739326,34.15063293475195,-5.947544378094476,-5.940926194313992,4.97
london_transport,repair,42,-34.375,31.25,0.0245799223497529,-13.090153719203334,-15.568357523780438,37.29494398839345,-9.261926307949047,-12.38046861767802,10.23
plant_pol_vazquez/All sites pooled,repair,163,-33.46938775510204,-13.297872340425531,0.121925215453448,-28.15918694086863,-3.996480475926519,58.22613587062238,4.544802820252626,0.6877001750366497,2.86
fullerene_structures/C500,repair,223,-5.508474576271187,-8.23045267489712,0.0503725664514806,-3.3059325017118493,-6.121326467545986,60.43199575245374,-0.07184016463933857,0.2750168860149424,15.38
revolution,repair,4,-20.0,-20.0,0.0748102047406398,-51.67248415637416,-40.82789743691549,34.943638752482286,-1.166531969189629,-5.3561838920751565,2.41
terrorists_911,repair,162,0.0,5.194805194805195,0.1069830149772882,0.0,13.773112990572422,44.30218520253845,0.0,-11.31937957309185,1.87
fullerene_structures/C540,repair,243,-10.0,-6.538461538461538,0.0502062907200552,-0.5799749701671684,-2.7650408018079435,60.43593680784954,0.16434203125337163,-0.029614161450251305,16.48
train_terrorists,repair,814,-26.534296028880867,-9.555555555555555,0.0899064622700241,-14.310426253174763,-2.217546054602716,38.48238119825292,2.669764895317629,-4.84670884990696,3.98
polbooks,repair,2018,-16.611570247933884,-11.762133799737647,0.0814588025277775,-15.209916905445443,-4.389424744585169,38.29874819275052,1.0582364323419227,-4.689421171779111,9.07
ugandan_village/friendship-6,repair,13498,-15.784876466184178,-7.970273402877208,0.1460520353227442,-2.707033345163527,53.61009822788667,70.96664707648684,-2.0347117699712562,-6.259982198571221,9.68
ugandan_village/friendship-7,repair,23476,-16.615756198053564,-12.572620288991509,0.1936051964639561,-5.587674479016189,61.09109416492865,77.76256830628418,0.28787372030084035,0.49270147464147096,9.88
ugandan_village/friendship-1,repair,6162,-17.47689835275211,-12.359550561797754,0.121281484885921,-11.837467156751806,7.91933569321377,72.71756073659826,-2.5540975061888056,-5.703574534941381,13.72
ugandan_village/friendship-2,repair,14757,-16.343537414965986,-9.299323909035033,0.13687242863792,-4.598587264376215,49.55755130400467,76.02264432779182,-0.18601620673613276,1.7971587955218102,14.16
ugandan_village/friendship-5,repair,14289,-19.189005768578216,-11.523219814241486,0.1267750726710579,0.8008771267280513,8.132892738344907,74.80148281440242,-1.8770056251066987,-0.1282086724432905,15.42
ugandan_village/friendship-17,repair,1936,-16.766981943250215,-13.183856502242152,0.1638894619078783,6.107086456744065,67.94704206858924,62.24578412974158,2.4818852303228423,-0.300702065273167,2.12
ugandan_village/friendship-15,repair,1189,-20.04034969737727,-15.852795470629866,0.1209528629264088,-5.538649668592078,6.2147114198105315,65.2314593091408,-1.667236166542886,-2.9600658789022516,5.23
